Test dataset MSE = 0.118502,Step = 40
Test dataset Accuracy = 0.04,Step = 40
Test dataset Cost = 0,Step = 40
Test dataset Recall = nan,Step = 40
Test dataset Precision = nan,Step = 40
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00384117,Step = 41
Test dataset MSE = 0.1183,Step = 41
Test dataset Accuracy = 0.04,Step = 41
Test dataset Cost = 0,Step = 41
Test dataset Recall = nan,Step = 41
Test dataset Precision = nan,Step = 41
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00383855,Step = 42
Test dataset MSE = 0.118038,Step = 42
Test dataset Accuracy = 0.04,Step = 42
Test dataset Cost = 0,Step = 42
Test dataset Recall = nan,Step = 42
Test dataset Precision = nan,Step = 42
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00383597,Step = 43
Test dataset MSE = 0.117722,Step = 43
Test dataset Accuracy = 0.04,Step = 43
Test dataset Cost = 0,Step = 43
Test dataset Recall = nan,Step = 43
Test dataset Precision = nan,Step = 43
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00383339,Step = 44
Test dataset MSE = 0.117361,Step = 44
Test dataset Accuracy = 0.04,Step = 44
Test dataset Cost = 0,Step = 44
Test dataset Recall = nan,Step = 44
Test dataset Precision = nan,Step = 44
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00383081,Step = 45
Test dataset MSE = 0.116961,Step = 45
Test dataset Accuracy = 0.04,Step = 45
Test dataset Cost = 0,Step = 45
Test dataset Recall = nan,Step = 45
Test dataset Precision = nan,Step = 45
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00382823,Step = 46
Test dataset MSE = 0.116529,Step = 46
Test dataset Accuracy = 0.04,Step = 46
Test dataset Cost = 0,Step = 46
Test dataset Recall = nan,Step = 46
Test dataset Precision = nan,Step = 46
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00382564,Step = 47
Test dataset MSE = 0.11607,Step = 47
Test dataset Accuracy = 0.04,Step = 47
Test dataset Cost = 0,Step = 47
Test dataset Recall = nan,Step = 47
Test dataset Precision = nan,Step = 47
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00382307,Step = 48
Test dataset MSE = 0.11559,Step = 48
Test dataset Accuracy = 0.04,Step = 48
Test dataset Cost = 0,Step = 48
Test dataset Recall = nan,Step = 48
Test dataset Precision = nan,Step = 48
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0038205,Step = 49
Test dataset MSE = 0.115091,Step = 49
Test dataset Accuracy = 0.04,Step = 49
Test dataset Cost = 0,Step = 49
Test dataset Recall = nan,Step = 49
Test dataset Precision = nan,Step = 49
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00381797,Step = 50
Test dataset MSE = 0.114578,Step = 50
Test dataset Accuracy = 0.04,Step = 50
Test dataset Cost = 0,Step = 50
Test dataset Recall = nan,Step = 50
Test dataset Precision = nan,Step = 50
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00381548,Step = 51
Test dataset MSE = 0.114054,Step = 51
Test dataset Accuracy = 0.04,Step = 51
Test dataset Cost = 0,Step = 51
Test dataset Recall = nan,Step = 51
Test dataset Precision = nan,Step = 51
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00381303,Step = 52
Test dataset MSE = 0.113521,Step = 52
Test dataset Accuracy = 0.04,Step = 52
Test dataset Cost = 0,Step = 52
Test dataset Recall = nan,Step = 52
Test dataset Precision = nan,Step = 52
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00381065,Step = 53
Test dataset MSE = 0.112983,Step = 53
Test dataset Accuracy = 0.04,Step = 53
Test dataset Cost = 0,Step = 53
Test dataset Recall = nan,Step = 53
Test dataset Precision = nan,Step = 53
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00380832,Step = 54
Test dataset MSE = 0.112441,Step = 54
Test dataset Accuracy = 0.04,Step = 54
Test dataset Cost = 0,Step = 54
Test dataset Recall = nan,Step = 54
Test dataset Precision = nan,Step = 54
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00380606,Step = 55
Test dataset MSE = 0.111899,Step = 55
Test dataset Accuracy = 0.04,Step = 55
Test dataset Cost = 0,Step = 55
Test dataset Recall = nan,Step = 55
Test dataset Precision = nan,Step = 55
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00380387,Step = 56
Test dataset MSE = 0.111359,Step = 56
Test dataset Accuracy = 0.04,Step = 56
Test dataset Cost = 0,Step = 56
Test dataset Recall = nan,Step = 56
Test dataset Precision = nan,Step = 56
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00380174,Step = 57
Test dataset MSE = 0.110824,Step = 57
